code,item_code,quantity,product_name,variant_name,color,size
," 100*100",100,"palestine - 32cm*90cm"," 100*100"," 100*100",None
72938736," 120*120",100,"(بالحظ الكوفي الجميل) 4قل - 120*120"," 120*120"," 120*120",None
72938736," 150*150",100,"(بالحظ الكوفي الجميل) 4قل - 120*120"," 150*150"," 150*150",None
345678932," 22cm*60cm",100,"palestine - 32cm*90cm"," 22cm*60cm"," 22cm*60cm",None
2385974," ابيض/XL",100,"اكس تيشرت -"," ابيض/XL"," ابيض",XL
55468368," احمر/3XL",0,"شيميز كاروه وتيشرت"," احمر/3XL"," احمر",3XL
43763129," اسود/2XL",100,بالطو," اسود/2XL"," اسود",2XL
43763129," اسود/3XL",100,بالطو," اسود/3XL"," اسود",3XL
43763129," اسود/XL",100,بالطو," اسود/XL"," اسود",XL
3478264289," البيت الريفي",100,"مبخره البيت الريفي"," البيت الريفي"," البيت الريفي",None
8635647," بني/XL",100,"سندريلا سوت"," بني/XL"," بني",XL
857394711," بيبي بلو/3XL",100,"summer vibes"," بيبي بلو/3XL"," بيبي بلو",3XL
567654333," بيت السنافر",100,"مبخره السنفور"," بيت السنافر"," بيت السنافر",None
8090100," شكل ٣",100,"ساعة حائط"," شكل ٣"," شكل ٣",None
132214324," شكل الجرة",100,"النافورة العطرية"," شكل الجرة"," شكل الجرة",None
94877503," مينت جرين",100,"اسدال مشجر"," مينت جرين"," مينت جرين",None
456930," مينت جرين/XL",101,"سويت شيرت شيري -"," مينت جرين/XL"," مينت جرين",XL
," نافورة البامبو",100,"palestine - 32cm*90cm"," نافورة البامبو"," نافورة البامبو",None
978786754," نافورة الشيكولاتة",100,مبخرة," نافورة الشيكولاتة"," نافورة الشيكولاتة",None
989738126," نافورة النجمة",100,"مبخرة قهوة + (10قطع من البخور الفاخر) هدية - اسود"," نافورة النجمة"," نافورة النجمة",None
14854212,.-14854212,100,"ساعه العالم",.,.,None
23636787482836,.-23636787482836,100,"سفنجه التقشير الكوري",.,.,None
40005577294,.-40005577294,100,"ماسك الشاي الاخضر",.,.,None
4567654345675,.-4567654345675,100,"غسول يوكو",.,.,None
545663,.-545663,100,"تابلوه شكل 1",.,.,None
59950055500500,.-59950055500500,100,"كريم التفتيح الذهبي",.,.,None
77814552,.-77814552,97,"المبخره الدفايه",.,.,None
82100454,.-82100454,100,"الدريس الكت",.,.,None
9000585884,.-9000585884,100,"كريم يوكو",.,.,None
14789563,0-14789563,100,"تابلوه شكل 31",0,0,None
8720015155151,0-8720015155151,100,"تابلوه شكل 14",0,0,None
12334145,100*100-12334145,101,"بالحظ الكوفي الجميل) 4قل",100*100,100*100,None
12334145,120*120-12334145,101,"بالحظ الكوفي الجميل) 4قل",120*120,120*120,None
4400294,120*65-4400294,96,"خريطه العالم شكل 5",120*65,120*65,None
870039541,120*65-870039541,99,"خريطه العالم شكل 1",120*65,120*65,None
8772217,120*65-8772217,99,"خريطه العالم شكل 2",120*65,120*65,None
12334145,150*150-12334145,105,"بالحظ الكوفي الجميل) 4قل",150*150,150*150,None
4400294,150*80-4400294,96,"خريطه العالم شكل 5",150*80,150*80,None
870039541,150*80-870039541,92,"خريطه العالم شكل 1",150*80,150*80,None
8772217,150*80-8772217,99,"خريطه العالم شكل 2",150*80,150*80,None
485224877,20*40-485224877,100,"ماشاء الله (بشكل رأسي)",فيروزي/2XL,فيروزي,2XL
4787462163,20*80/black-4787462163,100,"هذا من فضل ربي",كاشمير/3XL,كاشمير,3XL
4787462163,20*80/gold-4787462163,100,"هذا من فضل ربي",0,0,None
4787462163,20*80/silver-4787462163,100,"هذا من فضل ربي",XL/موكا,XL,موكا
4400294,200*105-4400294,100,"خريطه العالم شكل 5",200*105,200*105,None
870039541,200*105-870039541,100,"خريطه العالم شكل 1",200*105,200*105,None
8772217,200*105-8772217,98,"خريطه العالم شكل 2",200*105,200*105,None
830506803,22*60-830506803,100,"خريطه فلسطين",22*60,22*60,None
4400294,250*135-4400294,100,"خريطه العالم شكل 5",250*135,250*135,None
870039541,250*135-870039541,98,"خريطه العالم شكل 1",250*135,250*135,None
8772217,250*135-8772217,102,"خريطه العالم شكل 2",250*135,250*135,None
235345656,2XL-235345656,100,"ترنج ارمي",2XL,2XL,None
454574720,2XL-454574720,97,"ترنج broklyn",2XL,2XL,None
501124848,2XL-501124848,115,"ترنج بلاكي",2XL,2XL,None
8322404,2XL-8322404,100,"ترنج black",2XL,2XL,None
887721056,2XL-887721056,87,"ترنج yourself",2XL,2XL,None
3945823,2XL/اخضر-3945823,27,"طقم jumpsuit",2XL/اخضر,2XL,اخضر
3945823,2XL/اسود-3945823,19,"طقم jumpsuit",2XL/اسود,2XL,اسود
3945823,2XL/بيج-3945823,40,"طقم jumpsuit",2XL/بيج,2XL,بيج
3945823,2XL/موكا-3945823,14,"طقم jumpsuit",2XL/موكا,2XL,موكا
4787462163,30*120/black-4787462163,100,"هذا من فضل ربي",XL/بيج,XL,بيج
4787462163,30*120/gold-4787462163,100,"هذا من فضل ربي",2XL/موكا,2XL,موكا
4787462163,30*120/silver-4787462163,100,"هذا من فضل ربي",2XL/اسود,2XL,اسود
